SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP
PAST SALE,Condo/Co-op,15 W Fifteenth St Unit B3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,133 W Elder St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W Fourteenth St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #27,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1232 Vine St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #103,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1003 Walnut St #209,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #404,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1908 Dunlap St #5,Cincinnati,OH,45214
PAST SALE,Condo/Co-op,915 Vine St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 East Central Pkwy #401,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1501 Vine St #304,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,621 Main St Unit 4B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #604,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1509 Race St #307,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1501 Vine St #403,Cincinnati,OH,45202
PAST SALE,Single Family Residential,227 Magnolia St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,637 Walnut St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #307,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1222 Republic St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1222 Republic St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #401,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,17 Mercer St,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1207 Elm St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1508 Race St Unit 5R,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1418 Race St #3,Cincinnati,OH,45202
PAST SALE,Single Family Residential,9 Mercer St,Cincinnati,OH,45202
